mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
170349,10/1/2024,ChC,NULL,None,0,Well drained,Well drained,B,0,61,mutext.textcat=PI (OH),0.712,150,178,0,NULL
170351,10/1/2024,Co,0,NULL,96,Poorly drained,Poorly drained,C/D,96,60,mutext.textcat=PI (OH),0.625,137,187,0,96
170352,10/1/2024,GaB,NULL,None,0,Well drained,Well drained,B,2,73,mutext.textcat=PI (OH),0.703,150,200,0,2
170353,10/1/2024,GaC,NULL,None,0,Well drained,Well drained,B,0,69,mutext.textcat=PI (OH),0.687,150,200,0,NULL
170356,10/1/2024,Lo,84,Occasional,0,Moderately well drained,Moderately well drained,C,5,77,mutext.textcat=PI (OH),0.915,150,280,0,5
170357,10/1/2024,Mf,7,None,93,Poorly drained,Poorly drained,C/D,93,87,mutext.textcat=PI (OH),0.856,150,245,0,93
170358,10/1/2024,Mg,15,None,86,Very poorly drained,Very poorly drained,B/D,94,100,mutext.textcat=PI (OH),0.699,150,219,0,94
170361,10/1/2024,MoD2,76,None,2,Moderately well drained,Moderately well drained,C,2,59,mutext.textcat=PI (OH),0.571,84,128,1,2
170362,10/1/2024,OcB,NULL,None,0,Well drained,Well drained,B,0,73,mutext.textcat=PI (OH),0.715,150,181,0,NULL
170363,10/1/2024,OcC,NULL,None,0,Well drained,Well drained,B,0,70,mutext.textcat=PI (OH),0.69,150,181,0,NULL
170364,10/1/2024,Pm,15,None,91,Very poorly drained,Very poorly drained,C/D,91,84,mutext.textcat=PI (OH),0.765,150,214,0,91
170366,10/1/2024,RsB,38,None,0,Moderately well drained,Moderately well drained,D,0,67,mutext.textcat=PI (OH),0.526,58,106,1,NULL
170367,10/1/2024,RsC,38,None,0,Moderately well drained,Moderately well drained,D,0,58,mutext.textcat=PI (OH),0.532,58,106,1,NULL
170368,10/1/2024,RsC2,38,None,0,Moderately well drained,Moderately well drained,D,0,55,mutext.textcat=PI (OH),0.373,53,96,1,NULL
170369,10/1/2024,Sh,31,Occasional,8,Somewhat poorly drained,Somewhat poorly drained,B/D,8,76,mutext.textcat=PI (OH),0.738,150,252,0,8
170370,10/1/2024,SkA,61,None,0,Somewhat poorly drained,Somewhat poorly drained,C,2,74,mutext.textcat=PI (OH),0.919,150,292,0,2
170371,10/1/2024,So,15,Occasional,0,Very poorly drained,Very poorly drained,B/D,97,71,mutext.textcat=PI (OH),0.726,150,288,0,97
170372,10/1/2024,Tg,137,Occasional,0,Well drained,Well drained,A,0,72,mutext.textcat=PI (OH),0.693,150,209,0,NULL
170375,10/1/2024,WaA,22,None,10,Somewhat poorly drained,Somewhat poorly drained,D,10,62,mutext.textcat=PI (OH),0.559,59,115,1,10
170376,10/1/2024,WaB,22,None,8,Somewhat poorly drained,Somewhat poorly drained,D,8,60,mutext.textcat=PI (OH),0.556,59,115,1,8
170377,10/1/2024,WsB,99,None,0,Well drained,Well drained,C,8,79,mutext.textcat=PI (OH),0.637,74,130,1,8
