mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
1867656,10/1/2024,1174,15,None,0,Poorly drained,Poorly drained,C/D,95,93,mutext.textcat=CropProd (MN),0.675,130,210,0,95
1868164,10/1/2024,1162B,45,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,20,90,mutext.textcat=CropProd (MN),0.619,74,129,1,20
1868165,10/1/2024,1171C,75,None,0,Moderately well drained,Moderately well drained,C,10,77,mutext.textcat=CropProd (MN),0.484,36,58,1,10
2536650,10/1/2024,L307B,110,None,0,Well drained,Well drained,B,5,88,mutext.textcat=CropProd (MN),0.744,150,249,0,5
2536651,10/1/2024,L307C2,140,None,0,Well drained,Well drained,B,0,77,mutext.textcat=CropProd (MN),0.695,150,242,0,NULL
2536652,10/1/2024,L307E,NULL,None,0,Well drained,Well drained,A,0,29,mutext.textcat=CropProd (MN),0.514,150,238,0,NULL
2536653,10/1/2024,L315C2,NULL,None,0,Well drained,Well drained,B,10,67,mutext.textcat=CropProd (MN),0.535,150,198,0,10
2536654,10/1/2024,L315D2,NULL,None,0,Well drained,Well drained,B,0,54,mutext.textcat=CropProd (MN),0.498,150,197,0,NULL
2536655,10/1/2024,L317A,15,None,5,Poorly drained,Poorly drained,B/D,90,87,mutext.textcat=CropProd (MN),0.802,150,231,0,90
2536656,10/1/2024,L318A,0,None,90,Very poorly drained,Very poorly drained,B/D,100,86,mutext.textcat=CropProd (MN),0.896,150,259,0,100
2536657,10/1/2024,L321A,15,None,5,Poorly drained,Poorly drained,A/D,95,89,mutext.textcat=CropProd (MN),0.691,150,247,0,95
2536658,10/1/2024,L322A,15,None,10,Poorly drained,Poorly drained,A/D,100,94,mutext.textcat=CropProd (MN),0.789,150,242,0,100
2536659,10/1/2024,L323A,15,None,5,Poorly drained,Poorly drained,A/D,100,85,mutext.textcat=CropProd (MN),0.679,150,214,0,100
2536660,10/1/2024,L324A,15,None,10,Somewhat poorly drained,Poorly drained,B/D,50,90,mutext.textcat=CropProd (MN),0.892,150,223,0,50
2536661,10/1/2024,L325A,0,None,35,Poorly drained,Very poorly drained,A/D,95,85,mutext.textcat=CropProd (MN),0.772,150,231,0,95
2536662,10/1/2024,L330A,0,None,100,Very poorly drained,Very poorly drained,B/D,100,5,mutext.textcat=CropProd (MN),0.076,150,461,0,100
2536663,10/1/2024,L331A,0,None,100,Very poorly drained,Very poorly drained,B/D,100,77,mutext.textcat=CropProd (MN),0.967,150,436,0,100
2536664,10/1/2024,L332A,0,None,90,Very poorly drained,Very poorly drained,B/D,100,77,mutext.textcat=CropProd (MN),0.871,150,315,0,100
2536665,10/1/2024,L334A,0,None,100,Very poorly drained,Very poorly drained,A/D,100,15,mutext.textcat=CropProd (MN),0.929,150,551,0,100
2536666,10/1/2024,L335A,0,None,100,Very poorly drained,Very poorly drained,B/D,100,15,mutext.textcat=CropProd (MN),0.945,150,423,0,100
2536667,10/1/2024,L337B,NULL,None,0,Well drained,Well drained,B,5,88,mutext.textcat=CropProd (MN),0.7,150,241,0,5
2536668,10/1/2024,L336A,15,None,5,Somewhat poorly drained,Poorly drained,C/D,48,88,mutext.textcat=CropProd (MN),0.878,150,265,0,48
2536669,10/1/2024,L340B,NULL,None,0,Well drained,Well drained,B,5,76,mutext.textcat=CropProd (MN),0.613,150,212,0,5
2536670,10/1/2024,L347A,0,None,100,Very poorly drained,Very poorly drained,B/D,100,5,mutext.textcat=CropProd (MN),0.076,150,360,0,100
2536671,10/1/2024,L351A,0,None,100,Very poorly drained,Very poorly drained,A/D,100,74,mutext.textcat=CropProd (MN),0.968,150,600,0,100
2536672,10/1/2024,L352A,0,None,100,Very poorly drained,Very poorly drained,C/D,100,81,mutext.textcat=CropProd (MN),0.908,150,393,0,100
2536673,10/1/2024,L354A,75,None,5,Moderately well drained,Moderately well drained,B,15,100,mutext.textcat=CropProd (MN),0.744,150,252,0,15
2536674,10/1/2024,L355B,NULL,None,0,Well drained,Well drained,A,5,76,mutext.textcat=CropProd (MN),0.604,150,203,0,5
2536675,10/1/2024,L355C2,NULL,None,0,Well drained,Well drained,A,5,66,mutext.textcat=CropProd (MN),0.556,150,203,0,5
2536676,10/1/2024,L355D2,NULL,None,0,Well drained,Well drained,A,0,52,mutext.textcat=CropProd (MN),0.508,150,203,0,NULL
2536677,10/1/2024,L355E,NULL,None,0,Well drained,Well drained,A,0,23,mutext.textcat=CropProd (MN),0.429,150,204,0,NULL
2536678,10/1/2024,L356C2,NULL,None,0,Well drained,Well drained,B,5,77,mutext.textcat=CropProd (MN),0.601,150,233,0,5
2536679,10/1/2024,L356D2,NULL,None,0,Well drained,Well drained,B,0,59,mutext.textcat=CropProd (MN),0.544,150,229,0,NULL
2536680,10/1/2024,L357B,NULL,None,5,Well drained,Well drained,A,10,88,mutext.textcat=CropProd (MN),0.676,150,233,0,10
2536681,10/1/2024,L357C2,NULL,None,5,Well drained,Well drained,A,15,77,mutext.textcat=CropProd (MN),0.628,150,233,0,15
1868989,10/1/2024,1169,0,None,30,Poorly drained,Very poorly drained,C/D,90,80,mutext.textcat=CropProd (MN),0.591,97,157,0,90
1868988,10/1/2024,1184,15,None,0,Poorly drained,Poorly drained,C/D,100,78,mutext.textcat=CropProd (MN),0.597,71,119,1,100
1867682,10/1/2024,1162A,45,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,20,90,mutext.textcat=CropProd (MN),0.621,74,129,1,20
1867681,10/1/2024,1159B,75,None,0,Moderately well drained,Moderately well drained,C,10,83,mutext.textcat=CropProd (MN),0.544,62,97,1,10
1867663,10/1/2024,1193,15,None,0,Poorly drained,Poorly drained,C/D,100,81,mutext.textcat=CropProd (MN),0.625,91,159,0,100
2536682,10/1/2024,L357D2,NULL,None,0,Well drained,Well drained,A,0,61,mutext.textcat=CropProd (MN),0.587,150,233,0,NULL
2536683,10/1/2024,L350A,45,None,2,Somewhat poorly drained,Somewhat poorly drained,B/D,10,90,mutext.textcat=CropProd (MN),0.78,150,217,0,10
2536684,10/1/2024,L320A,0,Frequent,90,Very poorly drained,Very poorly drained,C/D,100,20,mutext.textcat=CropProd (MN),0.148,150,457,0,100
2536685,10/1/2024,L353B,NULL,None,0,Well drained,Well drained,B,10,92,mutext.textcat=CropProd (MN),0.737,150,249,0,10
2536686,10/1/2024,L326B,75,None,2,Moderately well drained,Moderately well drained,A,10,78,mutext.textcat=CropProd (MN),0.699,150,215,0,10
2536687,10/1/2024,L345A,15,None,5,Moderately well drained,Poorly drained,B,20,95,mutext.textcat=CropProd (MN),0.666,150,212,0,20
2536688,10/1/2024,L319A,0,None,20,Poorly drained,Very poorly drained,A/D,95,88,mutext.textcat=CropProd (MN),0.739,150,250,0,95
2800492,10/1/2024,L85A,45,None,5,Somewhat poorly drained,Somewhat poorly drained,C/D,10,99,mutext.textcat=CropProd (MN),0.814,150,265,0,10
2835041,10/1/2024,L83A,0,None,8,Poorly drained,Poorly drained,C/D,95,93,mutext.textcat=CropProd (MN),0.832,150,264,0,95
3111780,10/1/2024,L1207B,0,None,0,Somewhat poorly drained,Poorly drained,C/D,21,95,mutext.textcat=CropProd (MN),0.817,150,269,0,21
3111781,10/1/2024,L113B,45,None,0,Moderately well drained,Somewhat poorly drained,C,7,98,mutext.textcat=CropProd (MN),0.812,150,272,0,7
3111782,10/1/2024,L1213B,72,None,0,Moderately well drained,Moderately well drained,C,0,84,mutext.textcat=CropProd (MN),0.764,150,276,0,NULL
1677037,10/1/2024,2,NULL,None,0,Well drained,Well drained,B,0,100,mutext.textcat=CropProd (MN),0.8,91,182,0,NULL
1677038,10/1/2024,2B,NULL,None,0,Well drained,Well drained,B,0,98,mutext.textcat=CropProd (MN),0.8,91,182,0,NULL
1677039,10/1/2024,2C,NULL,None,0,Well drained,Well drained,B,0,90,mutext.textcat=CropProd (MN),0.814,91,182,0,NULL
1677040,10/1/2024,7B,NULL,None,0,Excessively drained,Excessively drained,A,0,36,mutext.textcat=CropProd (MN),0.49,150,100,1,NULL
1677041,10/1/2024,7C,NULL,None,0,Excessively drained,Excessively drained,A,0,34,mutext.textcat=CropProd (MN),0.478,150,100,1,NULL
1677042,10/1/2024,7D,NULL,None,0,Excessively drained,Excessively drained,A,0,27,mutext.textcat=CropProd (MN),0.445,150,100,1,NULL
1677043,10/1/2024,8,NULL,None,0,Excessively drained,Excessively drained,A,0,39,mutext.textcat=CropProd (MN),0.524,150,138,1,NULL
1677044,10/1/2024,8B,NULL,None,0,Excessively drained,Excessively drained,A,0,39,mutext.textcat=CropProd (MN),0.519,150,138,1,NULL
1677045,10/1/2024,8C,NULL,None,0,Excessively drained,Excessively drained,A,0,35,mutext.textcat=CropProd (MN),0.507,150,138,1,NULL
1677046,10/1/2024,12C,NULL,None,0,Excessively drained,Excessively drained,A,0,21,mutext.textcat=CropProd (MN),0.164,150,52,1,NULL
1677047,10/1/2024,12D,NULL,None,0,Excessively drained,Excessively drained,A,0,9,mutext.textcat=CropProd (MN),0.137,150,52,1,NULL
1677048,10/1/2024,49,NULL,None,0,Well drained,Well drained,B,0,67,mutext.textcat=CropProd (MN),0.574,150,196,0,NULL
1677049,10/1/2024,49B,NULL,None,0,Well drained,Well drained,B,0,65,mutext.textcat=CropProd (MN),0.552,150,196,0,NULL
1677050,10/1/2024,49C,NULL,None,0,Well drained,Well drained,B,0,63,mutext.textcat=CropProd (MN),0.516,150,193,0,NULL
1677051,10/1/2024,49D,NULL,None,0,Well drained,Well drained,B,0,52,mutext.textcat=CropProd (MN),0.326,150,193,0,NULL
1677052,10/1/2024,75,0,None,85,Very poorly drained,Very poorly drained,C/D,100,86,mutext.textcat=CropProd (MN),0.696,150,278,0,100
1677053,10/1/2024,100B,NULL,None,0,Well drained,Well drained,D,0,31,mutext.textcat=CropProd (MN),0.48,46,81,1,NULL
1677054,10/1/2024,100C,NULL,None,0,Well drained,Well drained,D,0,27,mutext.textcat=CropProd (MN),0.469,46,81,1,NULL
1677055,10/1/2024,113,15,None,0,Poorly drained,Poorly drained,B/D,100,94,mutext.textcat=CropProd (MN),0.687,150,267,0,100
1677056,10/1/2024,120,76,None,0,Moderately well drained,Moderately well drained,C,5,80,mutext.textcat=CropProd (MN),0.724,150,196,0,5
1677057,10/1/2024,123,15,None,0,Poorly drained,Poorly drained,B/D,95,91,mutext.textcat=CropProd (MN),0.821,150,257,0,95
1677058,10/1/2024,132B,NULL,None,0,Well drained,Well drained,B,7,85,mutext.textcat=CropProd (MN),0.679,150,250,0,7
1677059,10/1/2024,132C,NULL,None,0,Well drained,Well drained,B,5,71,mutext.textcat=CropProd (MN),0.639,150,250,0,5
1677060,10/1/2024,132D,NULL,None,0,Well drained,Well drained,B,10,47,mutext.textcat=CropProd (MN),0.581,150,253,0,10
1677061,10/1/2024,151,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,40,mutext.textcat=CropProd (MN),0.482,150,89,1,NULL
1677062,10/1/2024,151B,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,36,mutext.textcat=CropProd (MN),0.477,150,89,1,NULL
1677063,10/1/2024,153B,NULL,None,0,Well drained,Well drained,B,0,79,mutext.textcat=CropProd (MN),0.752,150,256,0,NULL
1677064,10/1/2024,153C,NULL,None,0,Well drained,Well drained,B,0,73,mutext.textcat=CropProd (MN),0.744,150,256,0,NULL
1677065,10/1/2024,155B,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,36,mutext.textcat=CropProd (MN),0.442,150,97,1,NULL
1677066,10/1/2024,155C,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,34,mutext.textcat=CropProd (MN),0.433,150,97,1,NULL
1677067,10/1/2024,155D,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,28,mutext.textcat=CropProd (MN),0.366,150,96,1,NULL
1677068,10/1/2024,158B,NULL,None,2,Somewhat excessively drained,Somewhat excessively drained,A,2,39,mutext.textcat=CropProd (MN),0.368,150,117,1,2
1677069,10/1/2024,158C,NULL,None,4,Somewhat excessively drained,Somewhat excessively drained,A,4,39,mutext.textcat=CropProd (MN),0.342,150,117,1,4
1677070,10/1/2024,158D,NULL,None,0,Excessively drained,Excessively drained,A,0,27,mutext.textcat=CropProd (MN),0.328,150,131,1,NULL
1677071,10/1/2024,159,NULL,None,0,Well drained,Well drained,A,0,47,mutext.textcat=CropProd (MN),0.401,150,200,0,NULL
1677072,10/1/2024,159B,NULL,None,0,Well drained,Well drained,A,0,45,mutext.textcat=CropProd (MN),0.43,150,200,0,NULL
1677073,10/1/2024,161,0,None,85,Very poorly drained,Very poorly drained,A/D,92,18,mutext.textcat=CropProd (MN),0.243,150,114,1,92
1677074,10/1/2024,162,46,None,0,Somewhat poorly drained,Somewhat poorly drained,A/D,5,43,mutext.textcat=CropProd (MN),0.432,150,108,1,5
1677075,10/1/2024,166,30,None,0,Somewhat poorly drained,Somewhat poorly drained,B/D,5,86,mutext.textcat=CropProd (MN),0.745,150,222,0,5
1677076,10/1/2024,169B,NULL,None,0,Well drained,Well drained,B,7,60,mutext.textcat=CropProd (MN),0.561,150,203,0,7
1677077,10/1/2024,169C,NULL,None,0,Well drained,Well drained,B,7,52,mutext.textcat=CropProd (MN),0.525,150,203,0,7
1677078,10/1/2024,170,15,None,0,Poorly drained,Poorly drained,B/D,92,57,mutext.textcat=CropProd (MN),0.61,150,170,0,92
1677079,10/1/2024,174C,NULL,None,0,Well drained,Well drained,C,0,51,mutext.textcat=CropProd (MN),0.593,76,151,1,NULL
1677080,10/1/2024,174F,NULL,None,0,Well drained,Well drained,C,0,9,mutext.textcat=CropProd (MN),0.138,76,151,1,NULL
1677081,10/1/2024,177B,NULL,None,0,Excessively drained,Excessively drained,A,0,47,mutext.textcat=CropProd (MN),0.492,150,136,1,NULL
1677082,10/1/2024,177C,NULL,None,0,Excessively drained,Excessively drained,A,0,33,mutext.textcat=CropProd (MN),0.48,150,136,1,NULL
1677083,10/1/2024,177D,NULL,None,0,Excessively drained,Excessively drained,A,0,23,mutext.textcat=CropProd (MN),0.446,150,136,1,NULL
